id,Literal,y_category
1,AMNIODRENAJE,1
2,Hiperparatiroidismo primario,E
3,MIGRANYA parto,O
4,VHC,B
5,Absceso mama izq,N
6,miomas parto,D
7,cos estrany,9
8,TCE,8
9,osteogénesis imperfecta,Q
10,Soplo sistólico,R
11,Amniorrexis,6
12,Tía materna + Ca mama,Z
13,laceraciones paraclitoriana,O
14,anti-D,3
15,J45.30,J
16,epoc reagudizado,4
17,Exprematura,V
18,asma parto,O
19,Alergia a Acaros,Z
20,alergia marisco,Z
21,Atrofia corticosubcortical,G
22,Trombopenia,D
23,HPB,6
24,Historia de RT,Z
25,Incontinencia urinaria de esfuerzo,R
26,ia,I
27,Hiperprolactinoma,2
28,COLESTASIS part,K
29,BSGC pélvica,0
30,carcinoma ductal infiltrante de mama izquierda,C
31,biopsia hepática,5
32,asma,J
33,Artritis reumatoide part,M
34,Nutrición por SNG,3
35,bandolera,A
36,SG: 40+,Z
37,Invaginación intestinal,K
38,Bronquiolitis VRS positiva,J
39,Conización parto,6
40,Circular cuello,O
41,Assistència per a reconstrucció de la mama consecutiva a mastectomia,Z
42,LC 13 mm,Z
43,hipotiroidisimo,E
44,Doppler renal,B
45,biopsia esofágica,4
46,traqueostomía,V
47,fimbriectomía bilateral,0
48,Problemas de conducta,R
49,Mastectomia der,8
50,nodulo tiroides,E
51,Gastritis crónic,K
52,Utero Miomatoso parto,D
53,cbp,5
54,33+5 semanas,Z
55,ginecomastia,N
56,cesarea anterior,O
57,colestasis parto,K
58,Portadora de cateter doble J,Z
59,anemia ferropénica,2
60,AIT historia,Z
61,Atonia uterina posparto,O
62,MC/BA,O
63,Síndrome malformativo,Q
64,accdiente con motocicleta,V
65,Bronquiectasias,J
66,soplo funcional,R
67,ht,I
68,hepatitis,5
69,SARS-COV2: negativos,Z
70,Antibioterápia,9
71,transaminitis,R
72,hta qx,I
73,Disfonía cronica,R
74,APÉNDICITIS AGUDA,K
75,adenomas,8
76,amenaza de parto pretérmino,6
77,Muerte fetal anteparto,6
78,Condilomas parto,O
79,Insuf venosa,I
80,DG insulinizada,O
81,reflujo gastroesofágico,K
82,enterococcus faecalis,B
83,ansioso parto,O
84,BiRDHH,I
85,Gamaglobulina Anti D,9
86,nst no tranquilizador,O
87,SUTURA DESGARRO VAGINAL,0
88,Hemorroides grado III-IV,K
89,HEMICOLECTOMÍA DERECHA AMPLIADA,Z
90,OBITO FETAL,6
91,ruptura prematura de membranas,O
92,Síndrome hemolítico urémico,D
93,Linfadenectomia PARAAÓRTICA,4
94,GSRh: O positiu,Z
95,NEOPLASIA VESICAL INFILTRANTE,8
96,gestación cronologicamente prolongada,O
97,anexectomia bilateral,6
98,hemicolectomía derecha laparoscópica,0
99,Anemia PARTO,D
100,retraso del neurodesarrollo,F
101,"Grupo sanguíneo: O, rh: POSITIVO",Z
102,Mioma subseroso parto,O
103,Hiperparatiroidismo parto,E
104,Hipertiroidismo,E
105,pielonefritis crónica,5
106,drenaje pleural,3
107,bronquitis aguda Rhinovirus,J
108,tirosinemia,E
109,Meningioma,9
110,Alergia a ciprofloxacino,Z
111,oxígenoterapia,9
112,cérvix corto,O
113,K43.2,K
114,ESTENOSIS Union pieloureteral,N
115,alzheimer,G
116,Amenaza de parto pretérmino,O
117,disfagía,7
118,ALERGIA A ESPARADRAPO,Z
119,Anemia,2
120,fístula perianal,K
121,Hipotirodisimo PARTO,E
122,Carcinoma Mama derecha,C
123,HPV,B
124,artropatia,7
125,Rubeola : NEGATIVA,Z
126,Alergia a penicilina,Z
127,hipotiroidismo PARTO,E
128,Alergia buscapina,Z
129,Déficit de vit D,E
130,compl trasplante,Z
131,mtx ósea,1
132,ALERGIAS: NOLOTIL,Z
133,TC Toracica-abdominal,B
134,epilepsia petit mal,G
135,hemoperitoneo traumatico,9
136,lumbalgia,7
137,ATM,7
138,disminución de movimientos fetales,O
139,Deshidratació,2
140,viriasis respiratoria de vias altas,A
141,trastorno bipolar part,F
142,Gingivoestomatitis herpética,B
143,Ca mama bilateral,C
144,TC cervical,B
145,Lumbociatalgias,7
146,Colon Irritable part,K
147,Analgèsia,9
148,DOBLE SALPINGUECTOMÍA,0
149,biopsia esofag,4
150,Historia trastorno mental,Z
151,rtuv,I
152,Fluidoterapia,9
153,retinopatía diabética 2,2
154,Colelitiasis,K
155,bocio parto,O
156,acortamiento del periodo expulsivo,O
157,extración material,9
158,Hiperémesis gravídica,O
159,RESECCIÓN TRANSURETRAL DE TUMOR VESICAL,0
160,artrosis de rodilla,M
161,Deshidratación hipernatrémica,E
162,Migrañas part,G
163,antobiotico,3
164,tumorectomía mamaria derecha,0
165,cesáreas anteriores,O
166,desgarro de 1r grado,O
167,Trombofília,3
168,NECROSIS AVASCULAR CADERA DERECHA,M
169,RECEPTORES DE ESTROGENOS: NEGATIVOS,Z
170,TAC abdominopélvico,8
171,hipolipemiante,9
172,Grupo: A +,Z
173,retraso pondoestatural,R
174,a POSITIVO,Z
175,Gilles de la Tourette,G
176,Hipercolesterolemia parto,E
177,ferroterapia endovenosa,9
178,39+,Z
179,IAo,4
180,Hematoma cesarea posparto,6
181,presentación podálica gemelo,6
182,Trastorno cognitivo,F
183,Incontinencia urinaria,7
184,Obesitad parto,O
185,Miopía parto,O
186,Quiste anexial,N
187,MIOMA UTERINO SUBMUCOSO,D
188,VHB part,O
189,desagarro vaginal,6
190,Asma part,J
191,mastectomía izquierda,8
192,Gemelar bicorial-biamniótica,O
193,cervix corto anteparto,6
194,: A positiva,Z
195,RPBF,6
196,BAS,4
197,Obesidad morbida part,E
198,CA,8
199,Invaginación,3
200,Insuficiencia respiratoria cronica,5
201,sindrome de apnea del sueño,G
202,visión borrosa,H
203,angio tac toracico,B
204,Lumbalgia mecanica,7
205,Grupo : A positivo,Z
206,laparoscópia,5
207,cesáreas,O
208,998.6,N
209,Anexectomía izquierda laparoscopia,0
210,POLIMIOMATOSO,8
211,. GsRh: O positivo,Z
212,B positivo,Z
213,cura herdia,8
214,CPAP,5
215,punción folicular,1
216,muerte fetal intrauterina,O
217,Dolor maluc dret,7
218,Grupo A Rh Negativo,Z
219,REVISION DE CANAL DEL PARTO,O
220,IMC 32,Z
221,Hiperuricemia,7
222,Rn 2,P
223,absceso vaginal,N
224,ITU parto,O
225,quistes simples renales,N
226,pretérmino,P
227,gammaglobulina antiD,9
228,osteoporosis,7
229,Holter,4
230,Ingrés social,Z
231,enfermedad celíaca,K
232,Vive en residencia,Z
233,Tumorectomía Mama izq,0
234,TERATOMA OVARIO DERECHO,D
235,anémia posparto,6
236,trastorno lumbar,M
237,Insonmio,G
238,trombocitosis parto,D
239,519.19,U
240,monocorial-biamniótico,O
241,derivaciónventrículo-peritoneal,0
242,Salpinguectomia bilateral,0
243,fibrobroncoscopia,3
244,eritematosas,L
245,autolisis benzodiacepinas,3
246,náuseas,R
247,PEG,Z
248,Omentectomia,5
249,Artropatía,M
250,Hallux valgus izquierdo 2,M
251,lumbociatica,7
252,Artralgias,M
253,Hèrnia paraesofàgica,5
254,Anexectomía bilateral laparoscopia,0
255,Púrpura De Schönlein Henoch,D
256,madden IZQUIERDA,0
257,Dermatitis atópica part,L
258,Miocardiopatia hipertrofica,4
259,Desgarro I,O
260,Historia de Violencia de género,Z
261,fisura anal,K
262,embolización arterias uterinas,0
263,nutrición enteral sng,3
264,ANEXECTOMIA DERECHA,0
265,síndrome subacromial,7
266,talassemia minor,D
267,PNA 2t,N
268,Biopsia selectiva de ganglio centinela,4
269,Acidosis metabólica,E
270,alergia polen de olivo,Z
