Code,Literal,Literal_clean,Literal_norm,code_type,chapter,is_icd10,D_P,Description
J9809,Hiperreactividad bronquial,Hiperreactividad bronquial,hiperreactividad bronquial,diagnosis,J,True,D,"Otras enfermedades de los bronquios, no clasificables bajo otro concepto"
J9801,broncoespástica,broncoespástica,broncoespastica,diagnosis,J,True,D,Broncoespasmo agudo
I420,miocardiopatía dilatada,miocardiopatía dilatada,miocardiopatia dilatada,diagnosis,I,True,D,Miocardiopatía dilatada
Y831,HTA irc 6,HTA irc 6,hta irc 6,diagnosis,Y,True,D,"Cirugía con implante de dispositivo interno artificial como causa de reacción anormal del paciente, o de complicación posterior, sin mención de evento adverso en el momento del procedimiento"
R5600,Crisis febriles atípicas,Crisis febriles atípicas,crisis febriles atipicas,diagnosis,R,True,D,Convulsiones febriles simples
Z9882,prótesis mama,prótesis mama,protesis mama,diagnosis,Z,True,D,Estado de implante mamario
M5126,hernia discal parto,hernia discal parto,hernia discal parto,diagnosis,M,True,D,"Otros desplazamientos de disco intervertebral, región lumbar"
N189,shock septico,shock septico,shock septico,diagnosis,N,True,D,"Enfermedad renal crónica, no especificada"
Z390,puerpera,puerpera,puerpera,diagnosis,Z,True,D,Contacto para atención y reconocimiento médico de la madre inmediatamente después del parto
O322XX0,podalica,podalica,podalica,diagnosis,O,True,D,"Atención materna por posición transversa y oblicua, no aplicable o no especificado"
H903,Hipoacusia bilateral congénita,Hipoacusia bilateral congénita,hipoacusia bilateral congenita,diagnosis,H,True,D,"Hipoacusia neurosensorial, bilateral"
Z9049,Hemicolectomia derecha,Hemicolectomia derecha,hemicolectomia derecha,diagnosis,Z,True,D,Ausencia adquirida de otras partes especificadas del tracto digestivo
10D07Z6,Ventosa,Ventosa,ventosa,procedure,1,True,P,"Extracción de productos de la concepción, vacuum, abordaje orificio natural o artificial"
BU4CZZZ,ECOGRAFIA TRANVAGINAL,ECOGRAFIA TRANVAGINAL,ecografia tranvaginal,diagnosis,B,True,P,Ecografía de útero y ovarios
R339,RAO,RAO,rao,diagnosis,R,True,D,"Retención urinaria, no especificada"
O721,Hemorragia post parto,Hemorragia post parto,hemorragia post parto,diagnosis,O,True,D,Otras hemorragias del posparto inmediato
99893,síndrome mielodisplásico,síndrome mielodisplásico,sindrome mielodisplasico,procedure,9,False,,
O3413,mioma part,mioma part,mioma part,diagnosis,O,True,D,"Atención materna por tumor benigno en el cuerpo del útero, tercer trimestre"
O700,desgarro de 1er grado,desgarro de 1er grado,desgarro de 1er grado,diagnosis,O,True,D,Desgarro perineal de primer grado en el parto
0Q8N3ZZ,Osteotomia tipo Weil derecha,Osteotomia tipo Weil derecha,osteotomia tipo weil derecha,procedure,0,True,P,"División de metatarso, derecho, abordaje percutáneo"
V420,trasplante renal,trasplante renal,trasplante renal,diagnosis,V,True,D,Conductor de coche lesionado en colisión con vehículo motorizado de dos o tres ruedas en un accidente no de tráfico
J382,Nódulo vocales,Nódulo vocales,nodulo vocales,diagnosis,J,True,D,Nódulos de las cuerdas vocales
B9620,Escherichia Coli,Escherichia Coli,escherichia coli,diagnosis,B,True,D,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto
Z6741,GS: 0 Rh negativo,GS: 0 Rh negativo,gs: 0 rh negativo,diagnosis,Z,True,D,"Grupo sanguíneo O, Rh negativo"
2273,adenoma hipofisario,adenoma hipofisario,adenoma hipofisario,procedure,2,False,,
BW00ZZZ,RX abdomen,RX abdomen,rx abdomen,diagnosis,B,True,P,Radiografía simple de abdomen
3E0H73Z,Indometacina rectal,Indometacina rectal,indometacina rectal,procedure,3,True,P,"Introducción en gastrointestinal inferior de anti-inflamatorio, abordaje orificio natural o artificial"
O23592,itu 2t,itu 2t,itu 2t,diagnosis,O,True,D,"Infección de otra localización del tracto genital en el embarazo, segundo trimestre"
F09,Deterioro congitivo,Deterioro congitivo,deterioro congitivo,diagnosis,F,True,D,Trastorno mental no especificado debido a afección fisiológica conocida
0YU50JZ,Hernia inguinal derecha,Hernia inguinal derecha,hernia inguinal derecha,procedure,0,True,P,"Suplemento en región inguinal, derecha, con sustituto sintético, abordaje abierto"
N871,CIN II parto,CIN II parto,cin ii parto,diagnosis,N,True,D,Displasia cervical moderada
E663,Sobrepeso parto,Sobrepeso parto,sobrepeso parto,diagnosis,E,True,D,Sobrepeso
N62,ginecomàstia,ginecomàstia,ginecomastia,diagnosis,N,True,D,Hipertrofia mamaria
0VN90ZZ,detorsión testicular derecho,detorsión testicular derecho,detorsion testicular derecho,procedure,0,True,P,"Liberación de testículo, derecho, abordaje abierto"
E860,deshidratado,deshidratado,deshidratado,diagnosis,E,True,D,Deshidratación
J45909,Asma part,Asma part,asma part,diagnosis,J,True,D,"Asma no especificada, sin complicaciones"
E211,Hiperparatiroidismo secundario a déficit de vit D,Hiperparatiroidismo secundario a déficit de vit D,hiperparatiroidismo secundario a deficit de vit d,diagnosis,E,True,D,"Hiperparatiroidismo secundario, no clasificado bajo otro concepto"
G43909,cefalea migrañosa,cefalea migrañosa,cefalea migranosa,diagnosis,G,True,D,"Migraña, no especificada, no intratable, sin estatus migrañoso"
E042,tiroides multinodular,tiroides multinodular,tiroides multinodular,diagnosis,E,True,D,Bocio multinodular no tóxico
40390,HTA IRC,HTA IRC,hta irc,procedure,4,False,,
37700,papiledema,papiledema,papiledema,procedure,3,False,,
6823,miomectomía histeroscópica,miomectomía histeroscópica,miomectomia histeroscopica,procedure,6,False,,
98613,lma,lma,lma,procedure,9,False,,
Z20822,SARS-CoV-2 negatius,SARS-CoV-2 negatius,sars-cov-2 negatius,diagnosis,Z,True,D,Contacto y (sospecha de) exposición a COVID-19
L03115,celulitis eid,celulitis eid,celulitis eid,diagnosis,L,True,D,Celulitis de extremidad inferior derecha
2270,Tumoración suprarrenal derecha,Tumoración suprarrenal derecha,tumoracion suprarrenal derecha,procedure,2,False,,
Z794,insulino,insulino,insulino,diagnosis,Z,True,D,Uso prolongado (actual) de insulina
07BC0ZX,bsgc pelvic,bsgc pelvic,bsgc pelvic,procedure,0,True,P,"Escisión de linfático, pelvis, diagnóstico, abordaje abierto"
A46,ERISIPELA EN EXTREMIDAD SUPERIOR DERECHA,ERISIPELA EN EXTREMIDAD SUPERIOR DERECHA,erisipela en extremidad superior derecha,diagnosis,A,True,D,Erisipela
0UT74ZZ,Anexectomía bilateral lap,Anexectomía bilateral lap,anexectomia bilateral lap,procedure,0,True,P,"Resección de trompas de falopio, bilateral, abordaje endoscópico percutáneo"
S022XXA,Fx de huesos propios de la nariz,Fx de huesos propios de la nariz,fx de huesos propios de la nariz,diagnosis,S,True,D,"Fractura de huesos nasales, contacto inicial por fractura cerrada"
R51,Cefalea,Cefalea,cefalea,diagnosis,R,True,D,Cefalea
O30033,Monocorial Biamniótico,Monocorial Biamniótico,monocorial biamniotico,diagnosis,O,True,D,"Embarazo gemelar monocoriónico/ diamniótico, tercer trimestre"
07TC0ZZ,cistectomía radical,cistectomía radical,cistectomia radical,procedure,0,True,P,"Resección de linfático, pelvis, abordaje abierto"
V9103,bicorial/biamniótico,bicorial/biamniótico,bicorial/biamniotico,diagnosis,V,True,D,Quemadura debida a fuego en otra embarcación motorizada
0HHU0NZ,expansor mama izq,expansor mama izq,expansor mama izq,procedure,0,True,P,"Inserción en mama, izquierda, de expansor tisular, abordaje abierto"
3E0337Z,ondansetrón,ondansetrón,ondansetron,procedure,3,True,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo"
N809,Endometriosis part,Endometriosis part,endometriosis part,diagnosis,N,True,D,"Endometriosis, no especificada"
87363,fractura dent,fractura dent,fractura dent,procedure,8,False,,
