Code,Literal,Code_clean,Literal_basic,in_icd_reference,D_P,Description
J9809,Hiperreactividad bronquial,J9809,Hiperreactividad bronquial,True,D,"Otras enfermedades de los bronquios, no clasificables bajo otro concepto"
J9801,broncoespástica,J9801,broncoespástica,True,D,Broncoespasmo agudo
I420,miocardiopatía dilatada,I420,miocardiopatía dilatada,True,D,Miocardiopatía dilatada
Y831,HTA irc 6,Y831,HTA irc 6,True,D,"Cirugía con implante de dispositivo interno artificial como causa de reacción anormal del paciente, o de complicación posterior, sin mención de evento adverso en el momento del procedimiento"
R5600,Crisis febriles atípicas,R5600,Crisis febriles atípicas,True,D,Convulsiones febriles simples
Z9882,prótesis mama,Z9882,prótesis mama,True,D,Estado de implante mamario
M5126,hernia discal parto,M5126,hernia discal parto,True,D,"Otros desplazamientos de disco intervertebral, región lumbar"
N189,shock septico,N189,shock septico,True,D,"Enfermedad renal crónica, no especificada"
Z390,puerpera,Z390,puerpera,True,D,Contacto para atención y reconocimiento médico de la madre inmediatamente después del parto
O322XX0,podalica,O322XX0,podalica,True,D,"Atención materna por posición transversa y oblicua, no aplicable o no especificado"
H903,Hipoacusia bilateral congénita,H903,Hipoacusia bilateral congénita,True,D,"Hipoacusia neurosensorial, bilateral"
Z9049,Hemicolectomia derecha,Z9049,Hemicolectomia derecha,True,D,Ausencia adquirida de otras partes especificadas del tracto digestivo
10D07Z6,Ventosa,10D07Z6,Ventosa,True,P,"Extracción de productos de la concepción, vacuum, abordaje orificio natural o artificial"
BU4CZZZ,ECOGRAFIA TRANVAGINAL,BU4CZZZ,ECOGRAFIA TRANVAGINAL,True,P,Ecografía de útero y ovarios
R339,RAO,R339,RAO,True,D,"Retención urinaria, no especificada"
O721,Hemorragia post parto,O721,Hemorragia post parto,True,D,Otras hemorragias del posparto inmediato
99893,síndrome mielodisplásico,99893,síndrome mielodisplásico,False,,
O3413,mioma part,O3413,mioma part,True,D,"Atención materna por tumor benigno en el cuerpo del útero, tercer trimestre"
O700,desgarro de 1er grado,O700,desgarro de 1er grado,True,D,Desgarro perineal de primer grado en el parto
0Q8N3ZZ,Osteotomia tipo Weil derecha,0Q8N3ZZ,Osteotomia tipo Weil derecha,True,P,"División de metatarso, derecho, abordaje percutáneo"
V420,trasplante renal,V420,trasplante renal,True,D,Conductor de coche lesionado en colisión con vehículo motorizado de dos o tres ruedas en un accidente no de tráfico
J382,Nódulo vocales,J382,Nódulo vocales,True,D,Nódulos de las cuerdas vocales
B9620,Escherichia Coli,B9620,Escherichia Coli,True,D,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto
Z6741,GS: 0 Rh negativo,Z6741,GS: 0 Rh negativo,True,D,"Grupo sanguíneo O, Rh negativo"
2273,adenoma hipofisario,2273,adenoma hipofisario,False,,
BW00ZZZ,RX abdomen,BW00ZZZ,RX abdomen,True,P,Radiografía simple de abdomen
3E0H73Z,Indometacina rectal,3E0H73Z,Indometacina rectal,True,P,"Introducción en gastrointestinal inferior de anti-inflamatorio, abordaje orificio natural o artificial"
O23592,itu 2t,O23592,itu 2t,True,D,"Infección de otra localización del tracto genital en el embarazo, segundo trimestre"
F09,Deterioro congitivo,F09,Deterioro congitivo,True,D,Trastorno mental no especificado debido a afección fisiológica conocida
0YU50JZ,Hernia inguinal derecha,0YU50JZ,Hernia inguinal derecha,True,P,"Suplemento en región inguinal, derecha, con sustituto sintético, abordaje abierto"
N871,CIN II parto,N871,CIN II parto,True,D,Displasia cervical moderada
E663,Sobrepeso parto,E663,Sobrepeso parto,True,D,Sobrepeso
N62,ginecomàstia,N62,ginecomàstia,True,D,Hipertrofia mamaria
